path,times_optimized,avg_percent_optimized,avg_optimized_latency_ms,number_hops
AZURE_US_EAST -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,57596,7.316270452115758,1.439232783298483,1
GCP_ASIA_EAST_1 -> GCP_US_CENTRAL_1 -> AZURE_US_EAST,57593,7.209699214917031,1.4159627926820768,1
AZURE_US_EAST -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,57589,24.717250897292477,2.0286294140593535,1
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST,57587,24.784416046245063,2.035772523809159,1
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> GCP_ASIA_EAST_1,57585,7.688428615178344,1.904794344357705,1
GCP_ASIA_EAST_1 -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT,57581,7.659526909857739,1.8940529026946344,1
AZURE_FRANCE_CENTRAL -> AZURE_US_EAST -> GCP_US_CENTRAL_1,57569,7.089322922616448,0.8132922343821833,1
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AZURE_JAPAN_EAST,57538,6.888206874324821,1.6477265742996599,1
GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AZURE_FRANCE_CENTRAL,57527,7.011822317838956,0.8031014322761793,1
AZURE_JAPAN_EAST -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT,57520,6.911554088900928,1.6536821132432156,1
GCP_AUSTRALIA_SOUTHEAST_1 -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT,57416,3.0671288650151007,0.8545163389829802,1
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> GCP_AUSTRALIA_SOUTHEAST_1,57412,3.0549834984929025,0.8522146786249851,1
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST,57219,8.633136000527585,0.5928784178814082,1
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> GCP_EUROPE_NORTH_1,57207,3.657115176320036,0.6230105020738758,1
AZURE_US_EAST -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,57192,8.696870601592877,0.5977461439752376,1
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> GCP_EUROPE_NORTH_1,57159,10.548588152451055,1.9231326875775834,1
GCP_EUROPE_NORTH_1 -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,57150,3.629567823019919,0.6175952256972705,1
GCP_EUROPE_NORTH_1 -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,57135,10.709200889108706,1.9542151685276676,1
AZURE_SOUTH_AFRICA_NORTH -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,56943,6.867865368168113,2.210101722189528,1
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_SOUTH_AFRICA_NORTH,56924,6.885099119378557,2.2156050475081788,1
AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AWS_EU_NORTH_1_STOCKHOLM,56884,2.9512672710118815,0.3543326206142297,1
GCP_US_SOUTH_1 -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH,56880,2.9525620809973008,0.43938564333692587,1
AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO -> GCP_US_SOUTH_1,56871,2.9474902990680563,0.4392434954272745,1
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO,56781,2.94207795353294,0.3528591689797453,1
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_SOUTH_AFRICA_NORTH,56761,2.2264149799580024,0.6846089473065586,1
